Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Save,Save
"Save and Continue Edit","Save and Continue Edit"
"Product Picker","Product Picker"
Product,Product
"The product you wish to create an offer for","The product you wish to create an offer for"
"Select Product ...","Select Product ..."
"In stock","In stock"
"Out of stock","Out of stock"
Inactive,Inactive
Active,Active
Sellers,Sellers
Retailers,Retailers
Offers,Offers
"New Retailer Offer","New Retailer Offer"
"This offer no longer exists.","This offer no longer exists."
"You deleted the offer %1.","You deleted the offer %1."
"Edit Offer %1 ","Edit Offer %1 "
Offer,Offer
"Something went wrong while editing the offer.","Something went wrong while editing the offer."
"Retailer Offers List","Retailer Offers List"
"You saved the offer %1.","You saved the offer %1."
Retail,Retail
Drive,Drive
Edit,Edit
"Product :","Product :"
"SKU : %1","SKU : %1"
"Availability : %1","Availability : %1"
"Status : %1","Status : %1"
"Retailer :","Retailer :"
"Code : %1","Code : %1"
"Store availability : ","Store availability : "
"In Stock","In Stock"
"Out Of Stock","Out Of Stock"
"Choose this store","Choose this store"
"View availability in stores ...","View availability in stores ..."
"Elastic Suite for Retailer","Elastic Suite for Retailer"
"Navigation mode","Navigation mode"
"Drive mode : the customer will only see the catalog of the chosen retailer in Front Office. Retail mode : the customer will browse the Web catalog by default.","Drive mode : the customer will only see the catalog of the chosen retailer in Front Office. Retail mode : the customer will browse the Web catalog by default."
"Display offers on product page","Display offers on product page"
"When enabled, offers of all stores will be displayed on product page.","When enabled, offers of all stores will be displayed on product page."
"Retailer Offer Information","Retailer Offer Information"
"General Offer Parameters","General Offer Parameters"
Retailer,Retailer
"Retailer Offer Edition Information","Retailer Offer Edition Information"
"Offer Summary","Offer Summary"
"Offer Conditions","Offer Conditions"
"Offer is available","Offer is available"
Price,Price
"Special Price","Special Price"
"Add Offer","Add Offer"
Select...,Select...
ID,ID
"Retailer Name","Retailer Name"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Find a store :","Find a store :"
"City, Zipcode, Department, ...","City, Zipcode, Department, ..."
Search,Search
"Retailer Offers","Retailer Offers"
